Time_from_start, RA, dec, DM, SNR, DM_corr, SNR_corr, “ı1000_ , S_o, S_o50
28466.7, 14.41, 41.16, 2.82, 6.57, 2.82, 8.8, 33, 14.9, 7.4
2037.73, 8.72, 72.43, 12.79, 6.24, 12.79, 8.8, 32, 15.4, 7.7
14986.7, 14.01, -11.92, 20.28, 6.36, 20.284, 9, 29, 28.1, 14
26575.6, 17.23, -11.92, 15.13, 6.33, 15.13, 9, 56, 54.2, 27.1
18909.1, 12.55, -10.47, 20.54, 6.09, 20.542, 9, 29, 26.8, 13.4
41036, 8.69, -8.27, 18.34, 6.08, 18.346, 9, 23, 19.9, 10
7480.46, 23.37, -7.54, 25.26, 6.36, 25.264, 9, 30, 25.5, 12.7
12482.9, 0.76, -7.54, 11.66, 6.07, 11.662, 9, 29, 24.6, 12.3
11955.8, 0.61, -6.12, 19.08, 6.49, 19.08, 9, 31, 25.3, 12.7
8830.74, 23.81, -3.53, 4.64, 6.03, 4.642, 9, 34, 26.1, 13
11081.5, 10.7, 3.63, 14.62, 5.73, 14.628, 9, 24, 15.9, 7.9
28198.2, 18.75, 16.57, 19.01, 6.42, 19.008, 9, 112, 61.2, 30.6
20684.2, 16.66, 17.5, 4.43, 6.1, 4.43, 9, 75, 40.5, 20.3
26896.7, 14.16, 18.75, 11.46, 6.04, 11.46, 9, 55, 29.3, 14.7
10232, 21.14, 19.63, 2.54, 6.04, 2.54, 9, 56, 29.6, 14.8
11703.4, 21.62, 20.01, 13.31, 6.75, 13.308, 9, 42, 22.1, 11.1
42126.5, 6.13, 22.68, 14.95, 6.1, 14.95, 9, 58, 29.8, 14.9
12832.4, 22, 23.12, 20.89, 6.07, 20.888, 9, 49, 25, 12.5
42173, 6.15, 23.12, 5.9, 5.56, 5.904, 9, 55, 28.1, 14.1
17007.3, 23.31, 23.93, 8.82, 6.13, 8.82, 9, 39, 19.8, 9.9
38618.3, 17.07, 25.18, 15.36, 6.52, 15.362, 9, 54, 27.1, 13.6
6345.78, 20.39, 28.14, 13.83, 6.19, 13.828, 9, 76, 37.3, 18.7
42368.2, 6.47, 29.34, 6.03, 6.55, 6.03, 9, 49, 23.9, 11.9
32622, 15.53, 29.36, 8.18, 6.27, 8.188, 9, 43, 20.9, 10.5
11989.8, 22.09, 30.94, 5.89, 6.41, 5.89, 9, 52, 25.1, 12.5
14404.1, 22.76, 30.94, 11.09, 6.5, 11.09, 9, 43, 20.7, 10.4
24679.7, 1.62, 30.94, 9.24, 6.22, 9.24, 9, 42, 20.3, 10.1
55056.6, 14.21, 31.29, 13.12, 6.3, 13.124, 9, 35, 16.8, 8.4
